,gram_count,document_count,Average_freq
temraz keane,82,2,41.0
keane counterfactual,96,2,48.0
counterfactual data,98,2,49.0
data augmentation,180,2,90.0
augmentation abstract,2,2,1.0
abstract learning,2,2,1.0
learning from,37,6,6.166666666666667
from class,2,2,1.0
class imbalanced,11,4,2.75
imbalanced datasets,25,6,4.166666666666667
datasets poses,2,2,1.0
poses challenges,2,2,1.0
challenges for,4,4,1.0
for many,4,2,2.0
many machine,2,2,1.0
machine learning,78,6,13.0
learning algorithms,17,5,3.4
algorithms many,2,2,1.0
many domains,2,2,1.0
domains are,2,2,1.0
are by,2,2,1.0
by definition,7,3,2.3333333333333335
definition class,2,2,1.0
imbalanced by,3,3,1.0
by virtue,2,2,1.0
virtue of,2,2,1.0
of having,2,2,1.0
having a,2,2,1.0
a majority,7,3,2.3333333333333335
majority class,114,6,19.0
class that,10,3,3.3333333333333335
that naturally,3,3,1.0
naturally has,2,2,1.0
has many,2,2,1.0
many more,7,3,2.3333333333333335
more instances,4,2,2.0
instances than,4,2,2.0
than its,2,2,1.0
its minority,4,2,2.0
minority class,201,6,33.5
class genuine,2,2,1.0
genuine bank,2,2,1.0
bank transactions,2,2,1.0
transactions occur,2,2,1.0
occur much,2,2,1.0
much more,3,3,1.0
more often,2,2,1.0
often than,2,2,1.0
than fraudulent,4,2,2.0
fraudulent ones,4,2,2.0
ones many,2,2,1.0
many methods,2,2,1.0
methods have,10,5,2.0
have been,40,6,6.666666666666667
been proposed,5,3,1.6666666666666667
proposed to,12,4,3.0
to solve,15,5,3.0
solve the,7,3,2.3333333333333335
the class,103,6,17.166666666666668
class imbalance,82,6,13.666666666666666
imbalance problem,54,6,9.0
problem among,2,2,1.0
among the,10,5,2.0
the most,34,6,5.666666666666667
most popular,5,3,1.6666666666666667
popular being,2,2,1.0
being oversampling,2,2,1.0
oversampling techniques,4,2,2.0
techniques such,3,3,1.0
such as,30,6,5.0
as smote,6,3,2.0
smote these,2,2,1.0
these methods,14,6,2.3333333333333335
methods synthetic,1,1,1.0
synthetic instances,40,4,10.0
instances in,34,2,17.0
in the,334,6,55.666666666666664
the minority,207,6,34.5
class to,10,5,2.0
to balance,6,5,1.2
balance the,5,4,1.25
the dataset,72,6,12.0
dataset performing,2,2,1.0
performing data,2,2,1.0
data augmentations,2,2,1.0
augmentations that,2,2,1.0
that improve,8,2,4.0
improve the,14,6,2.3333333333333335
the performance,27,6,4.5
performance of,33,6,5.5
of predictive,2,2,1.0
predictive machine,2,2,1.0
learning ml,4,2,2.0
ml models,11,2,5.5
models in,2,2,1.0
in this,109,6,18.166666666666668
this paper,45,6,7.5
paper we,11,5,2.2
we advance,2,2,1.0
advance a,2,2,1.0
a novel,13,3,4.333333333333333
novel data,2,2,1.0
augmentation method,18,2,9.0
method adapted,2,2,1.0
adapted from,4,2,2.0
from explainable,2,2,1.0
explainable ai,8,2,4.0
ai that,2,2,1.0
that generates,4,2,2.0
generates synthetic,13,4,3.25
synthetic counterfactual,16,2,8.0
counterfactual instances,8,2,4.0
class unlike,2,2,1.0
unlike other,2,2,1.0
other oversampling,4,2,2.0
techniques this,2,2,1.0
this method,24,4,6.0
method adaptively,2,2,1.0
adaptively combines,2,2,1.0
combines instances,1,1,1.0
instances from,4,2,2.0
from the,105,6,17.5
dataset using,4,3,1.3333333333333333
using actual,2,2,1.0
actual rather,2,2,1.0
rather than,22,6,3.6666666666666665
than interpolating,2,2,1.0
interpolating values,2,2,1.0
values between,6,2,3.0
between instances,9,2,4.5
instances several,2,2,1.0
several experiments,2,2,1.0
experiments using,2,2,1.0
using four,2,2,1.0
four different,8,4,2.0
different classifiers,2,2,1.0
classifiers and,4,2,2.0
and solving,2,2,1.0
solving the,3,3,1.0
problem using,4,2,2.0
using a,21,5,4.2
a counterfactual,14,2,7.0
counterfactual method,33,2,16.5
method for,25,6,4.166666666666667
for data,27,5,5.4
augmentation mohammed,2,2,1.0
mohammed mark,2,2,1.0
mark school,2,2,1.0
school of,5,4,1.25
of computer,17,5,3.4
computer science,14,4,3.5
science university,4,2,2.0
university college,6,2,3.0
college dublin,6,2,3.0
dublin belfield,6,2,3.0
belfield dublin,6,2,3.0
dublin ireland,6,2,3.0
ireland insight,2,2,1.0
insight centre,4,2,2.0
centre for,4,2,2.0
data analytics,5,3,1.6666666666666667
analytics university,2,2,1.0
ireland vistamilk,2,2,1.0
vistamilk sfi,4,2,2.0
sfi research,4,2,2.0
research centre,4,2,2.0
centre university,2,2,1.0
ireland temraz,2,2,1.0
augmentation datasets,4,2,2.0
datasets are,10,4,2.5
are reported,2,2,1.0
reported which,2,2,1.0
which show,4,2,2.0
show that,17,4,4.25
that this,12,4,3.0
this counterfactual,13,2,6.5
counterfactual augmentation,12,2,6.0
method cfa,6,2,3.0
cfa generates,4,2,2.0
generates useful,2,2,1.0
useful synthetic,2,2,1.0
synthetic datapoints,13,2,6.5
datapoints in,2,2,1.0
class the,18,6,3.0
the experiments,4,3,1.3333333333333333
experiments also,1,1,1.0
also show,4,2,2.0
that cfa,22,2,11.0
cfa is,14,2,7.0
is competitive,3,3,1.0
competitive with,2,2,1.0
with many,4,2,2.0
many other,4,2,2.0
oversampling methods,9,2,4.5
methods many,2,2,1.0
many of,8,4,2.0
of which,4,4,1.0
which are,13,6,2.1666666666666665
are variants,2,2,1.0
variants of,4,2,2.0
of smote,29,4,7.25
smote the,7,4,1.75
the basis,4,3,1.3333333333333333
basis for,4,2,2.0
for cfa,12,2,6.0
cfa s,4,2,2.0
s performance,14,4,3.5
performance is,6,4,1.5
is discussed,2,2,1.0
discussed along,2,2,1.0
along with,6,2,3.0
with the,88,6,14.666666666666666
the conditions,4,2,2.0
conditions under,6,2,3.0
under which,6,2,3.0
which it,2,2,1.0
it is,50,6,8.333333333333334
is likely,9,3,3.0
likely to,31,6,5.166666666666667
to perform,10,4,2.5
perform better,5,4,1.25
better or,2,2,1.0
or worse,2,2,1.0
worse in,3,3,1.0
in future,4,3,1.3333333333333333
future tests,2,2,1.0
tests keywords,2,2,1.0
keywords counterfactual,2,2,1.0
counterfactual class,4,2,2.0
problem reasoning,2,2,1.0
reasoning data,2,2,1.0
augmentation explainable,2,2,1.0
ai introduction,2,2,1.0
introduction imbalanced,2,2,1.0
datasets create,2,2,1.0
create significant,2,2,1.0
significant problems,2,2,1.0
problems for,4,4,1.0
for machine,4,3,1.3333333333333333
ml in,2,2,1.0
in classification,4,2,2.0
classification tasks,6,2,3.0
tasks classically,2,2,1.0
classically this,2,2,1.0
this problem,13,4,3.25
problem arises,2,2,1.0
arises in,2,2,1.0
in binary,5,3,1.6666666666666667
binary classification,11,3,3.6666666666666665
tasks when,2,2,1.0
when most,1,1,1.0
most of,18,5,3.6
of data,32,5,6.4
data comes,2,2,1.0
comes from,6,2,3.0
from one,2,2,1.0
one class,8,3,2.6666666666666665
the majority,119,6,19.833333333333332
class and,35,5,7.0
and less,2,2,1.0
less comes,2,2,1.0
the other,25,6,4.166666666666667
other class,4,3,1.3333333333333333
class for,9,4,2.25
for instance,18,3,6.0
instance in,23,3,7.666666666666667
in datasets,7,3,2.3333333333333335
datasets always,2,2,1.0
always have,2,2,1.0
have many,2,2,1.0
ones simply,2,2,1.0
simply because,2,2,1.0
because the,7,4,1.75
the latter,5,3,1.6666666666666667
latter are,2,2,1.0
are rarer,2,2,1.0
rarer than,2,2,1.0
than the,20,6,3.3333333333333335
the former,3,3,1.0
former when,2,2,1.0
when a,5,4,1.25
a given,25,5,5.0
given class,2,2,1.0
class is,24,6,4.0
is in,6,4,1.5
dataset in,12,5,2.4
this way,7,4,1.75
way a,2,2,1.0
a classifier,12,4,3.0
classifier s,5,3,1.6666666666666667
performance can,2,2,1.0
can be,105,6,17.5
be compromised,3,3,1.0
compromised in,2,2,1.0
in several,3,3,1.0
several ways,2,2,1.0
ways for,4,2,2.0
instance it,4,3,1.3333333333333333
it may,8,5,1.6
may show,3,3,1.0
show poor,2,2,1.0
poor accuracy,2,2,1.0
accuracy in,4,4,1.0
in predicting,2,2,1.0
predicting the,3,3,1.0
class or,10,4,2.5
or spuriously,2,2,1.0
spuriously high,4,2,2.0
high accuracy,2,2,1.0
accuracy for,4,4,1.0
for the,166,6,27.666666666666668
the classifier,16,3,5.333333333333333
classifier as,2,2,1.0
as a,43,6,7.166666666666667
a whole,2,2,1.0
whole based,2,2,1.0
based only,2,2,1.0
only on,2,2,1.0
on its,5,3,1.6666666666666667
its success,4,2,2.0
success with,2,2,1.0
class it,5,3,1.6666666666666667
it can,33,6,5.5
can result,2,2,1.0
result in,7,4,1.75
in poor,2,2,1.0
poor rule,2,2,1.0
rule induction,4,3,1.3333333333333333
induction for,2,2,1.0
for decision,2,2,1.0
decision trees,5,3,1.6666666666666667
trees this,2,2,1.0
problem has,5,3,1.6666666666666667
has been,46,6,7.666666666666667
been recognized,4,3,1.3333333333333333
recognized in,3,3,1.0
in many,11,5,2.2
many application,4,4,1.0
application domains,7,4,1.75
domains such,3,3,1.0
as medical,3,3,1.0
medical diagnosis,3,3,1.0
diagnosis fraud,1,1,1.0
fraud detection,10,6,1.6666666666666667
detection text,2,2,1.0
text classification,7,3,2.3333333333333335
classification and,3,3,1.0
and detection,2,2,1.0
detection of,6,4,1.5
of oil,6,4,1.5
oil spills,8,5,1.6
spills in,6,4,1.5
in satellite,6,4,1.5
satellite radar,7,4,1.75
radar images,7,4,1.75
images notably,2,2,1.0
notably recently,2,2,1.0
recently some,2,2,1.0
some of,11,6,1.8333333333333333
of the,551,6,91.83333333333333
the techniques,7,5,1.4
techniques proposed,4,4,1.0
problem have,2,2,1.0
have also,6,4,1.5
also proved,2,2,1.0
proved useful,2,2,1.0
useful in,2,2,1.0
in data,13,3,4.333333333333333
augmentation for,8,2,4.0
for deep,6,2,3.0
deep learning,6,2,3.0
learning models,2,2,1.0
models when,2,2,1.0
when new,2,2,1.0
new synthetic,23,3,7.666666666666667
synthetic keane,2,2,1.0
augmentation points,4,2,2.0
points need,2,2,1.0
need to,15,5,3.0
to be,105,6,17.5
be generated,10,5,2.0
generated to,4,2,2.0
to create,11,3,3.6666666666666665
create the,5,3,1.6666666666666667
the large,2,2,1.0
large labelled,2,2,1.0
labelled datasets,2,2,1.0
datasets required,2,2,1.0
required for,2,2,1.0
for better,3,3,1.0
better performance,9,3,3.0
performance in,5,4,1.25
this literature,2,2,1.0
literature several,2,2,1.0
several important,3,3,1.0
important approaches,2,2,1.0
approaches have,4,3,1.3333333333333333
have emerged,4,2,2.0
emerged to,2,2,1.0
to deal,8,4,2.0
deal with,8,4,2.0
with this,8,4,2.0
problem based,2,2,1.0
based on,90,6,15.0
on solutions,2,2,1.0
solutions at,2,2,1.0
at the,15,6,2.5
the data,58,6,9.666666666666666
data or,5,4,1.25
or algorithm,2,2,1.0
algorithm levels,2,2,1.0
levels data,2,2,1.0
data level,4,2,2.0
level solutions,6,2,3.0
solutions attempt,2,2,1.0
attempt to,2,2,1.0
to change,3,3,1.0
change the,6,2,3.0
the distribution,7,4,1.75
distribution of,11,5,2.2
the imbalanced,19,4,4.75
imbalanced data,102,6,17.0
data by,8,5,1.6
by the,36,6,6.0
the original,49,6,8.166666666666666
original data,6,4,1.5
data typically,1,1,1.0
typically these,4,2,2.0
these techniques,9,4,2.25
techniques either,2,2,1.0
either oversample,2,2,1.0
oversample the,7,3,2.3333333333333335
or undersample,2,2,1.0
undersample the,4,2,2.0
or sample,2,2,1.0
sample using,2,2,1.0
using some,3,3,1.0
some combination,2,2,1.0
combination of,24,6,4.0
of both,6,5,1.2
both of,2,2,1.0
of these,26,6,4.333333333333333
methods specifically,2,2,1.0
specifically the,3,2,1.5
the synthetic,25,5,5.0
synthetic minority,36,6,6.0
minority technique,15,5,3.0
technique smote,9,4,2.25
smote has,3,2,1.5
has become,3,3,1.0
become a,3,3,1.0
a very,8,4,2.0
very popular,4,4,1.0
popular method,4,2,2.0
for solving,2,2,1.0
solving issues,1,1,1.0
issues in,4,4,1.0
in traditional,2,2,1.0
traditional ml,2,2,1.0
ml and,2,2,1.0
and has,2,2,1.0
has also,3,3,1.0
also been,4,4,1.0
been applied,7,3,2.3333333333333335
applied to,20,5,4.0
to the,244,6,40.666666666666664
augmentation problem,1,1,1.0
problem in,12,5,2.4
in deep,2,2,1.0
deep learners,2,2,1.0
learners algorithm,2,2,1.0
algorithm level,2,2,1.0
solutions aim,2,2,1.0
aim to,2,2,1.0
to modify,3,3,1.0
modify the,3,3,1.0
the machine,4,3,1.3333333333333333
algorithms used,2,2,1.0
used to,58,6,9.666666666666666
to mitigate,4,2,2.0
mitigate their,2,2,1.0
their bias,2,2,1.0
bias towards,2,2,1.0
towards majority,2,2,1.0
majority groups,3,3,1.0
groups typically,2,2,1.0
techniques involve,2,2,1.0
involve the,2,2,1.0
the use,18,6,3.0
use of,24,6,4.0
of and,12,4,3.0
and ensemble,4,4,1.0
ensemble methods,3,3,1.0
methods in,19,4,4.75
we explore,2,2,1.0
explore a,2,2,1.0
novel approach,2,2,1.0
approach to,12,5,2.4
to both,2,2,1.0
both the,6,5,1.2
imbalance and,8,5,1.6
and data,25,6,4.166666666666667
augmentation problems,6,2,3.0
problems using,3,3,1.0
using an,2,2,1.0
an counterfactual,2,2,1.0
method that,5,3,1.6666666666666667
synthetic in,6,3,2.0
class interestingly,2,2,1.0
interestingly this,2,2,1.0
method was,3,3,1.0
was previously,2,2,1.0
previously developed,2,2,1.0
developed to,5,3,1.6666666666666667
solve problems,5,2,2.5
problems in,7,4,1.75
in explainable,2,2,1.0
ai xai,6,2,3.0
xai for,2,2,1.0
for reviews,4,2,2.0
reviews see,4,2,2.0
see in,2,2,1.0
in logic,3,3,1.0
logic lewis,2,2,1.0
lewis proposed,2,2,1.0
proposed that,2,2,1.0
that counterfactuals,2,2,1.0
counterfactuals are,4,2,2.0
are the,11,5,2.2
the closest,6,2,3.0
closest possible,2,2,1.0
possible world,2,2,1.0
world to,4,2,2.0
the current,19,6,3.1666666666666665
current world,2,2,1.0
world in,4,2,2.0
in which,25,6,4.166666666666667
which the,15,4,3.75
the outcome,4,2,2.0
outcome is,2,2,1.0
is different,2,2,1.0
different hence,2,2,1.0
hence the,5,3,1.6666666666666667
the intuition,5,3,1.6666666666666667
intuition behind,2,2,1.0
behind the,3,3,1.0
current technique,2,2,1.0
technique is,5,5,1.0
is that,40,6,6.666666666666667
that it,21,6,3.5
it generates,4,3,1.3333333333333333
instances using,6,2,3.0
using the,49,6,8.166666666666666
the actual,2,2,1.0
actual of,2,2,1.0
of instances,14,4,3.5
instances not,2,2,1.0
not interpolated,2,2,1.0
interpolated values,4,2,2.0
values that,4,2,2.0
that are,41,5,8.2
the close,2,2,1.0
close to,27,3,9.0
to existing,8,2,4.0
existing thus,1,1,1.0
thus populating,2,2,1.0
populating the,2,2,1.0
class with,9,4,2.25
with plausible,2,2,1.0
plausible adaptations,2,2,1.0
adaptations of,2,2,1.0
of existing,1,1,1.0
existing data,1,1,1.0
data if,2,2,1.0
if this,4,2,2.0
this intuition,2,2,1.0
intuition is,3,3,1.0
is correct,2,2,1.0
correct then,2,2,1.0
then the,15,5,3.0
instances generated,6,3,2.0
generated by,11,4,2.75
by this,5,4,1.25
method should,4,2,2.0
should improve,2,2,1.0
improve ml,2,2,1.0
ml performance,2,2,1.0
performance perhaps,2,2,1.0
perhaps to,2,2,1.0
to a,29,6,4.833333333333333
a level,2,2,1.0
level that,2,2,1.0
that advances,2,2,1.0
advances current,2,2,1.0
current techniques,2,2,1.0
techniques temraz,2,2,1.0
augmentation related,2,2,1.0
