gram_count,document_count,Average_freq,z_score
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
11,4,2.75,1.2722947305627463
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,4,1.0,0.2432401402505388
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
17,5,3.4,2.154341522258924
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
7,3,2.3333333333333335,0.6842635360986277
2,2,1.0,-0.050775456981520466
3,3,1.0,0.09623234163450917
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
7,3,2.3333333333333335,0.6842635360986277
10,3,3.3333333333333335,1.1252869319467167
3,3,1.0,0.09623234163450917
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
7,3,2.3333333333333335,0.6842635360986277
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
3,3,1.0,0.09623234163450917
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
10,5,2.0,1.1252869319467167
5,3,1.6666666666666667,0.39024793886656844
12,4,3.0,1.419302529178776
15,5,3.0,1.8603259250268647
7,3,2.3333333333333335,0.6842635360986277
2,2,1.0,-0.050775456981520466
10,5,2.0,1.1252869319467167
5,3,1.6666666666666667,0.39024793886656844
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
3,3,1.0,0.09623234163450917
6,3,2.0,0.537255737482598
2,2,1.0,-0.050775456981520466
14,6,2.3333333333333335,1.713318126410835
1,1,1.0,-0.1977832555975501
10,5,2.0,1.1252869319467167
6,5,1.2,0.537255737482598
5,4,1.25,0.39024793886656844
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
8,2,4.0,0.8312713347146573
14,6,2.3333333333333335,1.713318126410835
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
11,2,5.5,1.2722947305627463
2,2,1.0,-0.050775456981520466
11,5,2.2,1.2722947305627463
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
13,3,4.333333333333333,1.5663103277948056
2,2,1.0,-0.050775456981520466
18,2,9.0,2.301349320874954
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
8,2,4.0,0.8312713347146573
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
13,4,3.25,1.5663103277948056
16,2,8.0,2.0073337236428945
8,2,4.0,0.8312713347146573
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
1,1,1.0,-0.1977832555975501
4,2,2.0,0.2432401402505388
4,3,1.3333333333333333,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
22,6,3.6666666666666665,2.8893805153390724
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
6,2,3.0,0.537255737482598
9,2,4.5,0.978279133330687
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
8,4,2.0,0.8312713347146573
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
3,3,1.0,0.09623234163450917
4,2,2.0,0.2432401402505388
21,5,4.2,2.7423727167230427
14,2,7.0,1.713318126410835
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
5,4,1.25,0.39024793886656844
17,5,3.4,2.154341522258924
14,4,3.5,1.713318126410835
4,2,2.0,0.2432401402505388
6,2,3.0,0.537255737482598
6,2,3.0,0.537255737482598
6,2,3.0,0.537255737482598
6,2,3.0,0.537255737482598
6,2,3.0,0.537255737482598
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
5,3,1.6666666666666667,0.39024793886656844
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
10,4,2.5,1.1252869319467167
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
17,4,4.25,2.154341522258924
12,4,3.0,1.419302529178776
13,2,6.5,1.5663103277948056
12,2,6.0,1.419302529178776
6,2,3.0,0.537255737482598
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
13,2,6.5,1.5663103277948056
2,2,1.0,-0.050775456981520466
18,6,3.0,2.301349320874954
4,3,1.3333333333333333,0.2432401402505388
1,1,1.0,-0.1977832555975501
4,2,2.0,0.2432401402505388
22,2,11.0,2.8893805153390724
14,2,7.0,1.713318126410835
3,3,1.0,0.09623234163450917
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
4,2,2.0,0.2432401402505388
9,2,4.5,0.978279133330687
2,2,1.0,-0.050775456981520466
8,4,2.0,0.8312713347146573
4,4,1.0,0.2432401402505388
13,6,2.1666666666666665,1.5663103277948056
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
7,4,1.75,0.6842635360986277
4,3,1.3333333333333333,0.2432401402505388
4,2,2.0,0.2432401402505388
12,2,6.0,1.419302529178776
4,2,2.0,0.2432401402505388
14,4,3.5,1.713318126410835
6,4,1.5,0.537255737482598
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
6,2,3.0,0.537255737482598
4,2,2.0,0.2432401402505388
6,2,3.0,0.537255737482598
6,2,3.0,0.537255737482598
2,2,1.0,-0.050775456981520466
9,3,3.0,0.978279133330687
10,4,2.5,1.1252869319467167
5,4,1.25,0.39024793886656844
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
3,3,1.0,0.09623234163450917
4,3,1.3333333333333333,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,4,1.0,0.2432401402505388
4,3,1.3333333333333333,0.2432401402505388
2,2,1.0,-0.050775456981520466
4,2,2.0,0.2432401402505388
6,2,3.0,0.537255737482598
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
13,4,3.25,1.5663103277948056
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
5,3,1.6666666666666667,0.39024793886656844
11,3,3.6666666666666665,1.2722947305627463
2,2,1.0,-0.050775456981520466
1,1,1.0,-0.1977832555975501
18,5,3.6,2.301349320874954
2,2,1.0,-0.050775456981520466
6,2,3.0,0.537255737482598
2,2,1.0,-0.050775456981520466
8,3,2.6666666666666665,0.8312713347146573
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
4,3,1.3333333333333333,0.2432401402505388
9,4,2.25,0.978279133330687
18,3,6.0,2.301349320874954
7,3,2.3333333333333335,0.6842635360986277
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
7,4,1.75,0.6842635360986277
5,3,1.6666666666666667,0.39024793886656844
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
2,2,1.0,-0.050775456981520466
20,6,3.3333333333333335,2.595364918107013
3,3,1.0,0.09623234163450917
2,2,1.0,-0.050775456981520466
5,4,1.25,0.39024793886656844
2,2,1.0,-0.050775456981520466
6,4,1.5,0.537255737482598
12,5,2.4,1.419302529178776
7,4,1.75,0.6842635360986277
