,gram_count,document_count,Average_freq
temraz keane counterfactual data,82,2,41.0
keane counterfactual data augmentation,94,2,47.0
counterfactual data augmentation abstract,2,2,1.0
data augmentation abstract learning,2,2,1.0
augmentation abstract learning from,2,2,1.0
abstract learning from class,2,2,1.0
learning from class imbalanced,2,2,1.0
from class imbalanced datasets,2,2,1.0
class imbalanced datasets poses,2,2,1.0
imbalanced datasets poses challenges,2,2,1.0
datasets poses challenges for,2,2,1.0
poses challenges for many,2,2,1.0
challenges for many machine,2,2,1.0
for many machine learning,2,2,1.0
many machine learning algorithms,2,2,1.0
machine learning algorithms many,2,2,1.0
learning algorithms many domains,2,2,1.0
algorithms many domains are,2,2,1.0
many domains are by,2,2,1.0
domains are by definition,2,2,1.0
are by definition class,2,2,1.0
by definition class imbalanced,2,2,1.0
definition class imbalanced by,2,2,1.0
class imbalanced by virtue,2,2,1.0
imbalanced by virtue of,2,2,1.0
by virtue of having,2,2,1.0
virtue of having a,2,2,1.0
of having a majority,2,2,1.0
having a majority class,2,2,1.0
a majority class that,2,2,1.0
majority class that naturally,2,2,1.0
class that naturally has,2,2,1.0
that naturally has many,2,2,1.0
naturally has many more,2,2,1.0
has many more instances,2,2,1.0
many more instances than,4,2,2.0
more instances than its,2,2,1.0
instances than its minority,2,2,1.0
than its minority class,2,2,1.0
its minority class genuine,2,2,1.0
minority class genuine bank,2,2,1.0
class genuine bank transactions,2,2,1.0
genuine bank transactions occur,2,2,1.0
bank transactions occur much,2,2,1.0
transactions occur much more,2,2,1.0
occur much more often,2,2,1.0
much more often than,2,2,1.0
more often than fraudulent,2,2,1.0
often than fraudulent ones,2,2,1.0
than fraudulent ones many,2,2,1.0
fraudulent ones many methods,2,2,1.0
ones many methods have,2,2,1.0
many methods have been,2,2,1.0
methods have been proposed,2,2,1.0
have been proposed to,2,2,1.0
been proposed to solve,2,2,1.0
proposed to solve the,4,2,2.0
to solve the class,4,2,2.0
solve the class imbalance,3,2,1.5
the class imbalance problem,39,6,6.5
class imbalance problem among,2,2,1.0
imbalance problem among the,2,2,1.0
problem among the most,2,2,1.0
among the most popular,2,2,1.0
the most popular being,2,2,1.0
most popular being oversampling,2,2,1.0
popular being oversampling techniques,2,2,1.0
being oversampling techniques such,2,2,1.0
oversampling techniques such as,2,2,1.0
techniques such as smote,2,2,1.0
such as smote these,2,2,1.0
as smote these methods,2,2,1.0
smote these methods synthetic,1,1,1.0
these methods synthetic instances,1,1,1.0
methods synthetic instances in,1,1,1.0
synthetic instances in the,3,2,1.5
instances in the minority,12,2,6.0
in the minority class,50,4,12.5
the minority class to,6,4,1.5
minority class to balance,2,2,1.0
class to balance the,2,2,1.0
to balance the dataset,2,2,1.0
balance the dataset performing,2,2,1.0
the dataset performing data,2,2,1.0
dataset performing data augmentations,2,2,1.0
performing data augmentations that,2,2,1.0
data augmentations that improve,2,2,1.0
augmentations that improve the,2,2,1.0
that improve the performance,4,2,2.0
improve the performance of,4,2,2.0
the performance of predictive,2,2,1.0
performance of predictive machine,2,2,1.0
of predictive machine learning,2,2,1.0
predictive machine learning ml,2,2,1.0
machine learning ml models,2,2,1.0
learning ml models in,2,2,1.0
ml models in this,2,2,1.0
models in this paper,2,2,1.0
in this paper we,11,5,2.2
this paper we advance,2,2,1.0
paper we advance a,2,2,1.0
we advance a novel,2,2,1.0
advance a novel data,2,2,1.0
a novel data augmentation,2,2,1.0
novel data augmentation method,2,2,1.0
data augmentation method adapted,2,2,1.0
augmentation method adapted from,2,2,1.0
method adapted from explainable,2,2,1.0
adapted from explainable ai,2,2,1.0
from explainable ai that,2,2,1.0
explainable ai that generates,2,2,1.0
ai that generates synthetic,2,2,1.0
that generates synthetic counterfactual,2,2,1.0
generates synthetic counterfactual instances,6,2,3.0
synthetic counterfactual instances in,6,2,3.0
counterfactual instances in the,4,2,2.0
the minority class unlike,2,2,1.0
minority class unlike other,2,2,1.0
class unlike other oversampling,2,2,1.0
unlike other oversampling techniques,2,2,1.0
other oversampling techniques this,2,2,1.0
oversampling techniques this method,2,2,1.0
techniques this method adaptively,2,2,1.0
this method adaptively combines,2,2,1.0
method adaptively combines instances,1,1,1.0
adaptively combines instances from,1,1,1.0
combines instances from the,1,1,1.0
instances from the dataset,2,2,1.0
from the dataset using,2,2,1.0
the dataset using actual,2,2,1.0
dataset using actual rather,2,2,1.0
using actual rather than,2,2,1.0
actual rather than interpolating,2,2,1.0
rather than interpolating values,2,2,1.0
than interpolating values between,2,2,1.0
interpolating values between instances,2,2,1.0
values between instances several,2,2,1.0
between instances several experiments,2,2,1.0
instances several experiments using,2,2,1.0
several experiments using four,2,2,1.0
experiments using four different,2,2,1.0
using four different classifiers,2,2,1.0
four different classifiers and,2,2,1.0
different classifiers and solving,2,2,1.0
classifiers and solving the,2,2,1.0
and solving the class,2,2,1.0
solving the class imbalance,2,2,1.0
class imbalance problem using,2,2,1.0
imbalance problem using a,2,2,1.0
problem using a counterfactual,2,2,1.0
using a counterfactual method,2,2,1.0
a counterfactual method for,2,2,1.0
counterfactual method for data,4,2,2.0
method for data augmentation,6,2,3.0
for data augmentation mohammed,2,2,1.0
data augmentation mohammed mark,2,2,1.0
augmentation mohammed mark school,2,2,1.0
mohammed mark school of,2,2,1.0
mark school of computer,2,2,1.0
school of computer science,5,4,1.25
of computer science university,4,2,2.0
computer science university college,2,2,1.0
science university college dublin,2,2,1.0
university college dublin belfield,6,2,3.0
college dublin belfield dublin,6,2,3.0
dublin belfield dublin ireland,6,2,3.0
belfield dublin ireland insight,2,2,1.0
dublin ireland insight centre,2,2,1.0
ireland insight centre for,2,2,1.0
insight centre for data,4,2,2.0
centre for data analytics,4,2,2.0
for data analytics university,2,2,1.0
data analytics university college,2,2,1.0
analytics university college dublin,2,2,1.0
belfield dublin ireland vistamilk,2,2,1.0
dublin ireland vistamilk sfi,2,2,1.0
ireland vistamilk sfi research,2,2,1.0
vistamilk sfi research centre,4,2,2.0
sfi research centre university,2,2,1.0
research centre university college,2,2,1.0
centre university college dublin,2,2,1.0
belfield dublin ireland temraz,2,2,1.0
dublin ireland temraz keane,2,2,1.0
ireland temraz keane counterfactual,2,2,1.0
counterfactual data augmentation datasets,4,2,2.0
data augmentation datasets are,2,2,1.0
augmentation datasets are reported,2,2,1.0
datasets are reported which,2,2,1.0
are reported which show,2,2,1.0
reported which show that,2,2,1.0
which show that this,2,2,1.0
show that this counterfactual,2,2,1.0
that this counterfactual augmentation,2,2,1.0
this counterfactual augmentation method,2,2,1.0
counterfactual augmentation method cfa,2,2,1.0
augmentation method cfa generates,2,2,1.0
method cfa generates useful,2,2,1.0
cfa generates useful synthetic,2,2,1.0
generates useful synthetic datapoints,2,2,1.0
useful synthetic datapoints in,2,2,1.0
synthetic datapoints in the,2,2,1.0
datapoints in the minority,2,2,1.0
the minority class the,7,4,1.75
minority class the experiments,1,1,1.0
class the experiments also,1,1,1.0
the experiments also show,1,1,1.0
experiments also show that,1,1,1.0
also show that cfa,2,2,1.0
show that cfa is,2,2,1.0
that cfa is competitive,2,2,1.0
cfa is competitive with,2,2,1.0
is competitive with many,2,2,1.0
competitive with many other,2,2,1.0
with many other oversampling,2,2,1.0
many other oversampling methods,2,2,1.0
other oversampling methods many,2,2,1.0
oversampling methods many of,2,2,1.0
methods many of which,2,2,1.0
many of which are,2,2,1.0
