,gram_count,document_count,Average_freq
temraz keane counterfactual,82,2,41.0
keane counterfactual data,94,2,47.0
counterfactual data augmentation,98,2,49.0
data augmentation abstract,2,2,1.0
augmentation abstract learning,2,2,1.0
abstract learning from,2,2,1.0
learning from class,2,2,1.0
from class imbalanced,2,2,1.0
class imbalanced datasets,2,2,1.0
imbalanced datasets poses,2,2,1.0
datasets poses challenges,2,2,1.0
poses challenges for,2,2,1.0
challenges for many,2,2,1.0
for many machine,2,2,1.0
many machine learning,2,2,1.0
machine learning algorithms,9,3,3.0
learning algorithms many,2,2,1.0
algorithms many domains,2,2,1.0
many domains are,2,2,1.0
domains are by,2,2,1.0
are by definition,2,2,1.0
by definition class,2,2,1.0
definition class imbalanced,2,2,1.0
class imbalanced by,2,2,1.0
imbalanced by virtue,2,2,1.0
by virtue of,2,2,1.0
virtue of having,2,2,1.0
of having a,2,2,1.0
having a majority,2,2,1.0
a majority class,5,3,1.6666666666666667
majority class that,5,3,1.6666666666666667
class that naturally,2,2,1.0
that naturally has,2,2,1.0
naturally has many,2,2,1.0
has many more,2,2,1.0
many more instances,4,2,2.0
more instances than,4,2,2.0
instances than its,2,2,1.0
than its minority,2,2,1.0
its minority class,2,2,1.0
minority class genuine,2,2,1.0
class genuine bank,2,2,1.0
genuine bank transactions,2,2,1.0
bank transactions occur,2,2,1.0
transactions occur much,2,2,1.0
occur much more,2,2,1.0
much more often,2,2,1.0
more often than,2,2,1.0
often than fraudulent,2,2,1.0
than fraudulent ones,4,2,2.0
fraudulent ones many,2,2,1.0
ones many methods,2,2,1.0
many methods have,2,2,1.0
methods have been,8,4,2.0
have been proposed,3,3,1.0
been proposed to,2,2,1.0
proposed to solve,4,2,2.0
to solve the,7,3,2.3333333333333335
solve the class,4,2,2.0
the class imbalance,44,6,7.333333333333333
class imbalance problem,48,6,8.0
imbalance problem among,2,2,1.0
problem among the,2,2,1.0
among the most,2,2,1.0
the most popular,5,3,1.6666666666666667
most popular being,2,2,1.0
popular being oversampling,2,2,1.0
being oversampling techniques,2,2,1.0
oversampling techniques such,2,2,1.0
techniques such as,3,3,1.0
such as smote,4,3,1.3333333333333333
as smote these,2,2,1.0
smote these methods,2,2,1.0
these methods synthetic,1,1,1.0
methods synthetic instances,1,1,1.0
synthetic instances in,5,2,2.5
instances in the,26,2,13.0
in the minority,55,4,13.75
the minority class,157,5,31.4
minority class to,7,5,1.4
class to balance,2,2,1.0
to balance the,4,4,1.0
balance the dataset,2,2,1.0
the dataset performing,2,2,1.0
dataset performing data,2,2,1.0
performing data augmentations,2,2,1.0
data augmentations that,2,2,1.0
augmentations that improve,2,2,1.0
that improve the,4,2,2.0
improve the performance,4,2,2.0
the performance of,25,6,4.166666666666667
performance of predictive,2,2,1.0
of predictive machine,2,2,1.0
predictive machine learning,2,2,1.0
machine learning ml,4,2,2.0
learning ml models,2,2,1.0
ml models in,2,2,1.0
models in this,2,2,1.0
in this paper,28,5,5.6
this paper we,11,5,2.2
paper we advance,2,2,1.0
we advance a,2,2,1.0
advance a novel,2,2,1.0
a novel data,2,2,1.0
novel data augmentation,2,2,1.0
data augmentation method,16,2,8.0
augmentation method adapted,2,2,1.0
method adapted from,2,2,1.0
adapted from explainable,2,2,1.0
from explainable ai,2,2,1.0
explainable ai that,2,2,1.0
ai that generates,2,2,1.0
that generates synthetic,4,2,2.0
generates synthetic counterfactual,6,2,3.0
synthetic counterfactual instances,8,2,4.0
counterfactual instances in,6,2,3.0
minority class unlike,2,2,1.0
class unlike other,2,2,1.0
unlike other oversampling,2,2,1.0
other oversampling techniques,2,2,1.0
oversampling techniques this,2,2,1.0
techniques this method,2,2,1.0
this method adaptively,2,2,1.0
method adaptively combines,2,2,1.0
adaptively combines instances,1,1,1.0
combines instances from,1,1,1.0
instances from the,4,2,2.0
from the dataset,4,2,2.0
the dataset using,3,3,1.0
dataset using actual,2,2,1.0
using actual rather,2,2,1.0
actual rather than,2,2,1.0
rather than interpolating,2,2,1.0
than interpolating values,2,2,1.0
interpolating values between,2,2,1.0
values between instances,4,2,2.0
between instances several,2,2,1.0
instances several experiments,2,2,1.0
several experiments using,2,2,1.0
experiments using four,2,2,1.0
using four different,2,2,1.0
four different classifiers,2,2,1.0
different classifiers and,2,2,1.0
classifiers and solving,2,2,1.0
and solving the,2,2,1.0
solving the class,2,2,1.0
imbalance problem using,2,2,1.0
problem using a,2,2,1.0
using a counterfactual,2,2,1.0
a counterfactual method,4,2,2.0
counterfactual method for,4,2,2.0
method for data,6,2,3.0
for data augmentation,16,2,8.0
data augmentation mohammed,2,2,1.0
augmentation mohammed mark,2,2,1.0
mohammed mark school,2,2,1.0
mark school of,2,2,1.0
school of computer,5,4,1.25
of computer science,11,4,2.75
computer science university,4,2,2.0
science university college,2,2,1.0
university college dublin,6,2,3.0
college dublin belfield,6,2,3.0
dublin belfield dublin,6,2,3.0
belfield dublin ireland,6,2,3.0
dublin ireland insight,2,2,1.0
ireland insight centre,2,2,1.0
insight centre for,4,2,2.0
centre for data,4,2,2.0
for data analytics,4,2,2.0
data analytics university,2,2,1.0
analytics university college,2,2,1.0
dublin ireland vistamilk,2,2,1.0
ireland vistamilk sfi,2,2,1.0
vistamilk sfi research,4,2,2.0
sfi research centre,4,2,2.0
research centre university,2,2,1.0
centre university college,2,2,1.0
dublin ireland temraz,2,2,1.0
ireland temraz keane,2,2,1.0
data augmentation datasets,4,2,2.0
augmentation datasets are,2,2,1.0
datasets are reported,2,2,1.0
are reported which,2,2,1.0
reported which show,2,2,1.0
which show that,2,2,1.0
show that this,2,2,1.0
that this counterfactual,4,2,2.0
this counterfactual augmentation,2,2,1.0
counterfactual augmentation method,2,2,1.0
augmentation method cfa,2,2,1.0
method cfa generates,2,2,1.0
cfa generates useful,2,2,1.0
generates useful synthetic,2,2,1.0
useful synthetic datapoints,2,2,1.0
synthetic datapoints in,2,2,1.0
datapoints in the,2,2,1.0
minority class the,7,4,1.75
class the experiments,1,1,1.0
the experiments also,1,1,1.0
experiments also show,1,1,1.0
also show that,4,2,2.0
show that cfa,4,2,2.0
that cfa is,2,2,1.0
cfa is competitive,2,2,1.0
is competitive with,2,2,1.0
competitive with many,2,2,1.0
with many other,2,2,1.0
many other oversampling,2,2,1.0
other oversampling methods,2,2,1.0
oversampling methods many,2,2,1.0
methods many of,2,2,1.0
many of which,2,2,1.0
of which are,2,2,1.0
which are variants,2,2,1.0
are variants of,2,2,1.0
variants of smote,4,2,2.0
of smote the,4,3,1.3333333333333333
smote the basis,2,2,1.0
the basis for,2,2,1.0
basis for cfa,2,2,1.0
for cfa s,2,2,1.0
cfa s performance,2,2,1.0
s performance is,2,2,1.0
performance is discussed,2,2,1.0
is discussed along,2,2,1.0
discussed along with,2,2,1.0
along with the,4,2,2.0
with the conditions,2,2,1.0
the conditions under,4,2,2.0
conditions under which,6,2,3.0
under which it,2,2,1.0
which it is,2,2,1.0
it is likely,2,2,1.0
is likely to,8,3,2.6666666666666665
likely to perform,2,2,1.0
to perform better,4,3,1.3333333333333333
perform better or,2,2,1.0
better or worse,2,2,1.0
or worse in,2,2,1.0
worse in future,2,2,1.0
in future tests,2,2,1.0
future tests keywords,2,2,1.0
tests keywords counterfactual,2,2,1.0
keywords counterfactual class,2,2,1.0
counterfactual class imbalance,2,2,1.0
imbalance problem reasoning,2,2,1.0
problem reasoning data,2,2,1.0
reasoning data augmentation,2,2,1.0
data augmentation explainable,2,2,1.0
augmentation explainable ai,2,2,1.0
explainable ai introduction,2,2,1.0
ai introduction imbalanced,2,2,1.0
introduction imbalanced datasets,2,2,1.0
imbalanced datasets create,2,2,1.0
datasets create significant,2,2,1.0
create significant problems,2,2,1.0
significant problems for,2,2,1.0
problems for machine,2,2,1.0
for machine learning,4,3,1.3333333333333333
learning ml in,2,2,1.0
ml in classification,2,2,1.0
in classification tasks,2,2,1.0
classification tasks classically,2,2,1.0
tasks classically this,2,2,1.0
classically this problem,2,2,1.0
this problem arises,2,2,1.0
problem arises in,2,2,1.0
arises in binary,2,2,1.0
in binary classification,4,2,2.0
binary classification tasks,4,2,2.0
classification tasks when,2,2,1.0
tasks when most,1,1,1.0
when most of,1,1,1.0
most of data,1,1,1.0
of data comes,2,2,1.0
data comes from,2,2,1.0
comes from one,2,2,1.0
from one class,2,2,1.0
one class the,2,2,1.0
class the majority,2,2,1.0
the majority class,96,6,16.0
majority class and,18,4,4.5
class and less,2,2,1.0
and less comes,2,2,1.0
less comes from,2,2,1.0
comes from the,2,2,1.0
from the other,2,2,1.0
the other class,4,3,1.3333333333333333
other class the,2,2,1.0
class the minority,2,2,1.0
minority class for,7,4,1.75
class for instance,3,2,1.5
for instance in,3,3,1.0
instance in datasets,2,2,1.0
in datasets always,2,2,1.0
datasets always have,2,2,1.0
always have many,2,2,1.0
have many more,2,2,1.0
instances than fraudulent,2,2,1.0
fraudulent ones simply,2,2,1.0
ones simply because,2,2,1.0
simply because the,2,2,1.0
because the latter,2,2,1.0
the latter are,2,2,1.0
latter are rarer,2,2,1.0
are rarer than,2,2,1.0
rarer than the,2,2,1.0
than the former,2,2,1.0
the former when,2,2,1.0
former when a,2,2,1.0
when a given,3,3,1.0
a given class,2,2,1.0
given class is,2,2,1.0
class is in,2,2,1.0
is in the,2,2,1.0
in the dataset,26,4,6.5
the dataset in,6,4,1.5
dataset in this,3,3,1.0
in this way,7,4,1.75
this way a,2,2,1.0
way a classifier,2,2,1.0
a classifier s,4,2,2.0
classifier s performance,5,3,1.6666666666666667
s performance can,2,2,1.0
performance can be,2,2,1.0
can be compromised,2,2,1.0
be compromised in,2,2,1.0
compromised in several,2,2,1.0
in several ways,2,2,1.0
several ways for,2,2,1.0
ways for instance,2,2,1.0
for instance it,4,3,1.3333333333333333
instance it may,2,2,1.0
it may show,2,2,1.0
may show poor,2,2,1.0
show poor accuracy,2,2,1.0
poor accuracy in,2,2,1.0
accuracy in predicting,2,2,1.0
in predicting the,2,2,1.0
predicting the minority,2,2,1.0
minority class or,6,4,1.5
class or spuriously,2,2,1.0
or spuriously high,2,2,1.0
spuriously high accuracy,2,2,1.0
high accuracy for,2,2,1.0
accuracy for the,2,2,1.0
for the classifier,6,2,3.0
the classifier as,2,2,1.0
classifier as a,2,2,1.0
as a whole,2,2,1.0
a whole based,2,2,1.0
whole based only,2,2,1.0
based only on,2,2,1.0
only on its,2,2,1.0
on its success,2,2,1.0
its success with,2,2,1.0
success with the,2,2,1.0
with the majority,9,3,3.0
majority class it,3,3,1.0
class it can,2,2,1.0
it can result,2,2,1.0
can result in,2,2,1.0
result in poor,2,2,1.0
in poor rule,2,2,1.0
poor rule induction,2,2,1.0
rule induction for,2,2,1.0
induction for decision,2,2,1.0
for decision trees,2,2,1.0
decision trees this,2,2,1.0
trees this problem,2,2,1.0
this problem has,2,2,1.0
problem has been,5,3,1.6666666666666667
has been recognized,4,3,1.3333333333333333
been recognized in,3,3,1.0
recognized in many,3,3,1.0
in many application,3,3,1.0
many application domains,4,4,1.0
application domains such,3,3,1.0
domains such as,3,3,1.0
such as medical,3,3,1.0
as medical diagnosis,2,2,1.0
medical diagnosis fraud,1,1,1.0
diagnosis fraud detection,1,1,1.0
fraud detection text,2,2,1.0
detection text classification,2,2,1.0
text classification and,2,2,1.0
classification and detection,2,2,1.0
and detection of,2,2,1.0
detection of oil,6,4,1.5
of oil spills,6,4,1.5
oil spills in,6,4,1.5
spills in satellite,6,4,1.5
in satellite radar,6,4,1.5
satellite radar images,7,4,1.75
radar images notably,2,2,1.0
images notably recently,2,2,1.0
notably recently some,2,2,1.0
recently some of,2,2,1.0
some of the,8,5,1.6
of the techniques,2,2,1.0
the techniques proposed,3,3,1.0
techniques proposed to,2,2,1.0
imbalance problem have,1,1,1.0
problem have also,2,2,1.0
have also proved,2,2,1.0
also proved useful,2,2,1.0
proved useful in,2,2,1.0
useful in data,2,2,1.0
in data augmentation,9,2,4.5
data augmentation for,8,2,4.0
augmentation for deep,6,2,3.0
for deep learning,6,2,3.0
deep learning models,2,2,1.0
learning models when,2,2,1.0
models when new,2,2,1.0
when new synthetic,2,2,1.0
new synthetic keane,2,2,1.0
synthetic keane counterfactual,2,2,1.0
data augmentation points,4,2,2.0
augmentation points need,2,2,1.0
points need to,2,2,1.0
need to be,11,4,2.75
to be generated,6,4,1.5
be generated to,2,2,1.0
generated to create,2,2,1.0
to create the,5,3,1.6666666666666667
create the large,2,2,1.0
the large labelled,2,2,1.0
large labelled datasets,2,2,1.0
labelled datasets required,2,2,1.0
datasets required for,2,2,1.0
required for better,2,2,1.0
for better performance,2,2,1.0
better performance in,2,2,1.0
performance in this,4,3,1.3333333333333333
in this literature,2,2,1.0
this literature several,2,2,1.0
literature several important,2,2,1.0
several important approaches,2,2,1.0
important approaches have,2,2,1.0
approaches have emerged,2,2,1.0
have emerged to,2,2,1.0
emerged to deal,2,2,1.0
to deal with,8,4,2.0
deal with this,2,2,1.0
with this problem,2,2,1.0
this problem based,2,2,1.0
problem based on,2,2,1.0
based on solutions,2,2,1.0
on solutions at,2,2,1.0
solutions at the,2,2,1.0
at the data,2,2,1.0
the data or,2,2,1.0
data or algorithm,2,2,1.0
or algorithm levels,2,2,1.0
algorithm levels data,2,2,1.0
levels data level,2,2,1.0
data level solutions,4,2,2.0
level solutions attempt,2,2,1.0
solutions attempt to,2,2,1.0
attempt to change,2,2,1.0
to change the,2,2,1.0
change the distribution,2,2,1.0
the distribution of,4,4,1.0
distribution of the,6,3,2.0
of the imbalanced,4,4,1.0
the imbalanced data,2,2,1.0
imbalanced data by,4,2,2.0
data by the,3,3,1.0
by the original,2,2,1.0
the original data,6,4,1.5
original data typically,1,1,1.0
data typically these,1,1,1.0
typically these techniques,4,2,2.0
these techniques either,2,2,1.0
techniques either oversample,2,2,1.0
either oversample the,2,2,1.0
oversample the minority,6,2,3.0
class or undersample,2,2,1.0
or undersample the,2,2,1.0
undersample the majority,4,2,2.0
majority class or,4,2,2.0
class or sample,2,2,1.0
or sample using,2,2,1.0
sample using some,2,2,1.0
using some combination,2,2,1.0
some combination of,2,2,1.0
combination of both,3,3,1.0
of both of,2,2,1.0
both of these,2,2,1.0
of these methods,4,2,2.0
these methods specifically,2,2,1.0
methods specifically the,2,2,1.0
specifically the synthetic,2,2,1.0
the synthetic minority,4,4,1.0
synthetic minority technique,12,5,2.4
minority technique smote,5,3,1.6666666666666667
technique smote has,2,2,1.0
smote has become,2,2,1.0
has become a,3,3,1.0
become a very,2,2,1.0
a very popular,2,2,1.0
very popular method,2,2,1.0
popular method for,4,2,2.0
method for solving,2,2,1.0
for solving issues,1,1,1.0
solving issues in,1,1,1.0
issues in traditional,2,2,1.0
in traditional ml,2,2,1.0
traditional ml and,2,2,1.0
ml and has,2,2,1.0
and has also,2,2,1.0
has also been,3,3,1.0
also been applied,2,2,1.0
been applied to,6,2,3.0
applied to the,5,3,1.6666666666666667
to the data,7,5,1.4
the data augmentation,4,2,2.0
data augmentation problem,1,1,1.0
augmentation problem in,1,1,1.0
problem in deep,2,2,1.0
in deep learners,2,2,1.0
deep learners algorithm,2,2,1.0
learners algorithm level,2,2,1.0
algorithm level solutions,2,2,1.0
level solutions aim,2,2,1.0
solutions aim to,2,2,1.0
aim to modify,2,2,1.0
to modify the,3,3,1.0
modify the machine,2,2,1.0
the machine learning,4,3,1.3333333333333333
learning algorithms used,2,2,1.0
algorithms used to,2,2,1.0
used to mitigate,2,2,1.0
to mitigate their,2,2,1.0
mitigate their bias,2,2,1.0
their bias towards,2,2,1.0
bias towards majority,2,2,1.0
towards majority groups,2,2,1.0
majority groups typically,2,2,1.0
groups typically these,2,2,1.0
these techniques involve,2,2,1.0
techniques involve the,2,2,1.0
involve the use,2,2,1.0
the use of,18,6,3.0
use of and,2,2,1.0
of and ensemble,2,2,1.0
and ensemble methods,2,2,1.0
ensemble methods in,2,2,1.0
methods in this,3,3,1.0
paper we explore,2,2,1.0
we explore a,2,2,1.0
explore a novel,2,2,1.0
a novel approach,2,2,1.0
novel approach to,2,2,1.0
approach to both,2,2,1.0
to both the,2,2,1.0
both the class,2,2,1.0
class imbalance and,7,4,1.75
imbalance and data,1,1,1.0
and data augmentation,5,2,2.5
data augmentation problems,5,2,2.5
augmentation problems using,2,2,1.0
problems using an,2,2,1.0
using an counterfactual,2,2,1.0
an counterfactual method,2,2,1.0
counterfactual method that,2,2,1.0
method that generates,2,2,1.0
generates synthetic in,2,2,1.0
synthetic in the,6,3,2.0
